,approach,count_id,time,type,volume
487,SB,341,2009-02-26 15:00:00,pm60,1
488,SB,343,1996-04-03 09:30:00,am15,164
489,SB,343,1996-04-03 17:15:00,pm15,507
490,SB,343,1996-04-03 08:45:00,am60,598
491,SB,343,1996-04-03 16:30:00,pm60,1907
492,SB,344,2012-05-16 08:00:00,am15,192
493,SB,344,2012-05-16 16:30:00,pm15,348
494,SB,344,2012-05-16 07:15:00,am60,664
495,SB,344,2012-05-16 17:00:00,pm60,1319
496,SB,349,2004-03-17 09:30:00,am15,198
497,SB,349,2004-03-17 17:00:00,pm15,278
498,SB,349,2004-03-17 09:00:00,am60,763
499,SB,349,2004-03-17 16:45:00,pm60,1030
500,SB,351,2008-08-13 09:30:00,am15,240
501,SB,351,2008-08-13 17:45:00,pm15,427
502,SB,351,2008-08-13 09:00:00,am60,887
503,SB,351,2008-08-13 17:00:00,pm60,1587
504,SB,353,1996-07-18 08:15:00,am15,66
505,SB,353,1996-07-18 15:30:00,pm15,84
506,SB,353,1996-07-18 07:45:00,am60,224
507,SB,353,1996-07-18 16:45:00,pm60,287
508,SB,355,7.30,am15,11
509,SB,355,3.30,pm15,6
510,SB,355,7.00,am60,33
511,SB,355,4.00,pm60,16
512,SB,359,2016-06-08 09:15:00,am15,354
513,SB,359,2016-06-08 15:30:00,pm15,348
514,SB,359,2016-06-08 07:15:00,am60,1394
515,SB,359,2016-06-08 15:00:00,pm60,1274
516,SB,363,1995-07-07 08:30:00,am15,4
517,SB,363,1995-07-07 15:15:00,pm15,11
518,SB,363,1995-07-07 09:00:00,am60,12
519,SB,363,1995-07-07 16:00:00,pm60,28
520,SB,364,1992-05-01 08:45:00,am15,4
521,SB,364,1992-05-01 15:15:00,pm15,4
522,SB,364,1992-05-01 08:00:00,am60,8
523,SB,364,1992-05-01 15:00:00,pm60,9
524,SB,366,1997-12-31 07:15:00,am15,95
525,SB,366,1997-12-31 15:00:00,pm15,104
526,SB,366,1997-12-31 07:15:00,am60,342
527,SB,366,1997-12-31 15:00:00,pm60,325
528,SB,369,2000-11-06 07:30:00,am15,349
529,SB,369,2000-11-06 16:45:00,pm15,338
530,SB,369,2000-11-06 07:30:00,am60,1289
531,SB,369,2000-11-06 16:45:00,pm60,1265
532,SB,372,2011-01-13 07:00:00,am15,629
533,SB,372,2011-01-13 17:30:00,pm15,578
534,SB,372,2011-01-13 07:00:00,am60,2276
535,SB,372,2011-01-13 17:00:00,pm60,2107
536,SB,380,2004-03-16 07:15:00,am15,20
537,SB,380,2004-03-16 15:45:00,pm15,24
538,SB,380,2004-03-16 09:00:00,am60,69
539,SB,380,2004-03-16 15:00:00,pm60,72
540,SB,382,2008-04-16 07:15:00,am15,21
541,SB,382,2008-04-16 16:45:00,pm15,22
542,SB,382,2008-04-16 07:00:00,am60,65
543,SB,382,2008-04-16 16:00:00,pm60,68
544,SB,385,2013-01-16 07:30:00,am15,13
545,SB,385,2013-01-16 16:45:00,pm15,8
546,SB,385,2013-01-16 07:30:00,am60,44
547,SB,385,2013-01-16 16:00:00,pm60,19
548,SB,392,2012-09-05 07:45:00,am15,181
549,SB,392,2012-09-05 17:00:00,pm15,161
550,SB,392,2012-09-05 07:30:00,am60,613
551,SB,392,2012-09-05 17:00:00,pm60,633
552,SB,394,2009-04-13 07:45:00,am15,31
