,Peak,Pedestrian,Spec_Veh,Volume,count_id
646,Pass,Pass,Pass,Fail,1923
647,Pass,Pass,Pass,Pass,1928
648,Pass,Pass,Pass,Pass,1929
649,Pass,Pass,Fail,Fail,1930
650,Pass,Pass,Pass,Pass,1931
651,Pass,Pass,Pass,Pass,1932
652,Pass,Pass,Pass,Pass,1933
653,Pass,Pass,Fail,Pass,1934
654,Pass,Pass,Pass,Pass,1935
655,Pass,Fail,Pass,Fail,1936
656,Fail,Pass,Pass,Pass,1937
657,Pass,Pass,Fail,Pass,1938
658,Pass,Pass,Pass,Pass,1939
659,Pass,Pass,Pass,Pass,1950
660,Pass,Pass,Pass,Pass,1951
661,Pass,Fail,Pass,Fail,1952
662,Pass,Pass,Pass,Pass,1953
663,Pass,Fail,Pass,Fail,1954
664,Pass,Pass,Pass,Pass,1955
665,Pass,Pass,Fail,Pass,1957
666,Pass,Pass,Pass,Pass,1958
667,Pass,Fail,Pass,Fail,1960
668,Pass,Pass,Pass,Fail,1966
669,Pass,Pass,Pass,Pass,1970
670,Pass,Fail,Pass,Fail,1972
671,Pass,Fail,Pass,Fail,1973
672,Pass,Pass,Pass,Pass,1974
673,Pass,Fail,Pass,Fail,1977
