,approach,count_id,type,volume
1004,WB,159,bike,0
1005,WB,159,bus,0
1006,NB,163,dual,139
1007,NB,163,bike,0
1008,NB,163,bus,31
1009,SB,163,dual,140
1010,SB,163,bike,12
1011,SB,163,bus,32
1012,EB,163,dual,104
1013,EB,163,bike,3
1014,EB,163,bus,31
1015,WB,163,dual,89
1016,WB,163,bike,6
1017,WB,163,bus,26
1018,NB,165,dual,70
1019,NB,165,bike,20
1020,NB,165,bus,172
1021,SB,165,dual,34
1022,SB,165,bike,23
1023,SB,165,bus,143
1024,EB,165,dual,33
1025,EB,165,bike,29
1026,EB,165,bus,71
1027,WB,165,dual,33
1028,WB,165,bike,40
1029,WB,165,bus,59
1030,NB,166,dual,150
1031,NB,166,bike,226
1032,NB,166,bus,141
1033,SB,166,dual,74
1034,SB,166,bike,146
1035,SB,166,bus,87
1036,EB,166,dual,118
1037,EB,166,bike,118
1038,EB,166,bus,23
1039,WB,166,dual,75
1040,WB,166,bike,81
1041,WB,166,bus,29
1042,NB,168,dual,3
1043,NB,168,bike,7
1044,NB,168,bus,0
1045,SB,168,dual,3
1046,SB,168,bike,2
1047,SB,168,bus,0
1048,EB,168,dual,17
1049,EB,168,bike,6
1050,EB,168,bus,0
1051,WB,168,dual,7
1052,WB,168,bike,4
1053,WB,168,bus,0
1054,NB,171,dual,147
1055,NB,171,bike,0
1056,NB,171,bus,148
1057,SB,171,dual,182
1058,SB,171,bike,24
1059,SB,171,bus,112
1060,EB,171,dual,16
1061,EB,171,bike,34
1062,EB,171,bus,0
1063,WB,171,dual,19
1064,WB,171,bike,1
1065,WB,171,bus,1
1066,NB,175,dual,101
1067,NB,175,bike,96
1068,NB,175,bus,124
1069,SB,175,dual,87
1070,SB,175,bike,85
1071,SB,175,bus,14
1072,EB,175,dual,9
1073,EB,175,bike,90
1074,EB,175,bus,0
1075,WB,175,dual,11
1076,NB,176,dual,129
1077,NB,176,bike,0
1078,NB,176,bus,96
1079,SB,176,dual,158
1080,SB,176,bike,0
1081,SB,176,bus,93
1082,EB,176,dual,134
1083,EB,176,bike,0
1084,EB,176,bus,21
1085,WB,176,dual,118
1086,WB,176,bike,0
1087,WB,176,bus,47
1088,NB,178,dual,102
1089,NB,178,bike,94
1090,NB,178,bus,118
1091,SB,178,dual,94
1092,SB,178,bike,76
1093,SB,178,bus,113
1094,EB,178,dual,99
1095,EB,178,bike,104
1096,EB,178,bus,15
1097,WB,178,dual,99
1098,WB,178,bike,113
1099,WB,178,bus,73
1100,NB,180,dual,3
1101,NB,180,bike,0
1102,NB,180,bus,0
1103,SB,180,dual,2
1104,SB,180,bike,0
1105,SB,180,bus,0
1106,EB,180,dual,13
1107,EB,180,bike,5
1108,EB,180,bus,0
1109,WB,180,dual,11
1110,WB,180,bike,9
1111,WB,180,bus,0
1112,NB,183,dual,2
1113,NB,183,bike,0
1114,NB,183,bus,0
1115,SB,183,dual,3
1116,SB,183,bike,0
1117,SB,183,bus,0
1118,EB,183,dual,19
1119,EB,183,bike,0
1120,EB,183,bus,0
1121,WB,183,dual,8
1122,WB,183,bike,0
1123,WB,183,bus,0
1124,NB,184,dual,94
1125,NB,184,bike,11
1126,NB,184,bus,121
1127,SB,184,dual,155
1128,SB,184,bike,33
1129,SB,184,bus,135
1130,EB,184,dual,5
1131,EB,184,bike,0
1132,EB,184,bus,0
1133,WB,184,dual,0
1134,WB,184,bike,0
1135,WB,184,bus,0
1136,NB,185,dual,160
1137,NB,185,bike,14
1138,NB,185,bus,81
1139,SB,185,dual,117
1140,SB,185,bike,15
1141,SB,185,bus,85
1142,EB,185,dual,5
1143,EB,185,bike,3
1144,EB,185,bus,0
1145,WB,185,dual,0
1146,WB,185,bike,0
