,approach,count_id,time,type,volume
600,NB,26610,16.15,pm60,246
601,EB,26610,17.00,pm60,1687
602,WB,26610,17.00,pm60,1462
603,SB,26610,17.00,pm60,33
604,NB,26611,15.45,pm60,40
605,EB,26611,17.00,pm60,1316
606,WB,26611,16.15,pm60,981
607,SB,26611,16.15,pm60,24
608,NB,26612,17.00,pm60,34
609,EB,26612,18.00,pm60,1369
610,WB,26612,17.45,pm60,1184
611,SB,26612,16.45,pm60,52
612,NB,26613,15.15,pm60,1317
613,EB,26613,16.45,pm60,875
614,WB,26613,15.00,pm60,300
615,SB,26613,17.00,pm60,2107
616,NB,26614,14.00,pm60,86
617,EB,26614,16.00,pm60,976
618,WB,26614,15.15,pm60,714
619,SB,26614,15.15,pm60,22
620,NB,26616,16.00,pm60,49
621,EB,26616,15.00,pm60,317
622,WB,26616,15.00,pm60,332
623,SB,26616,0.00,pm60,0
624,NB,26618,16.45,pm60,1300
625,EB,26618,15.30,pm60,93
626,WB,26618,15.00,pm60,63
627,SB,26618,17.00,pm60,1463
628,NB,26619,16.45,pm60,481
629,EB,26619,0.00,pm60,0
630,WB,26619,16.45,pm60,42
631,SB,26619,17.00,pm60,815
632,NB,26620,16.45,pm60,786
633,EB,26620,0.00,pm60,0
634,WB,26620,16.30,pm60,39
635,SB,26620,16.30,pm60,1398
636,NB,26621,15.15,pm60,38
637,EB,26621,16.00,pm60,1277
638,WB,26621,16.00,pm60,973
639,SB,26621,15.45,pm60,19
640,NB,26622,17.00,pm60,1630
641,EB,26622,0.00,pm60,0
642,WB,26622,17.00,pm60,31
643,SB,26622,17.00,pm60,1154
644,NB,26623,16.45,pm60,1477
645,EB,26623,0.00,pm60,0
646,WB,26623,16.45,pm60,94
647,SB,26623,17.00,pm60,1186
648,NB,26626,17.00,pm60,287
649,EB,26626,15.00,pm60,72
650,WB,26626,15.00,pm60,11
651,SB,26626,16.15,pm60,18
652,NB,26627,17.00,pm60,600
653,EB,26627,15.30,pm60,29
654,WB,26627,15.45,pm60,27
655,SB,26627,17.00,pm60,451
656,NB,26628,16.45,pm60,1498
657,EB,26628,0.00,pm60,0
658,WB,26628,16.45,pm60,20
659,SB,26628,16.45,pm60,675
660,NB,26629,17.00,pm60,239
661,EB,26629,17.00,pm60,1391
662,WB,26629,17.00,pm60,1749
663,SB,26629,16.45,pm60,7
664,NB,26630,17.00,pm60,18
665,EB,26630,17.00,pm60,784
666,WB,26630,17.00,pm60,244
667,SB,26630,0.00,pm60,0
668,NB,26631,17.00,pm60,1018
669,EB,26631,0.00,pm60,0
670,WB,26631,17.00,pm60,28
671,SB,26631,17.00,pm60,1303
672,NB,26632,17.00,pm60,1026
673,EB,26632,16.15,pm60,30
674,WB,26632,0.00,pm60,0
675,SB,26632,17.00,pm60,1295
676,NB,26633,17.00,pm60,904
677,EB,26633,17.00,pm60,933
678,WB,26633,17.00,pm60,898
679,SB,26633,16.45,pm60,1145
680,NB,26634,16.00,pm60,80
681,EB,26634,17.00,pm60,2109
682,WB,26634,17.00,pm60,2000
683,SB,26634,16.45,pm60,15
684,NB,26635,14.45,pm60,3
685,EB,26635,15.00,pm60,962
686,WB,26635,14.30,pm60,720
687,SB,26635,14.30,pm60,190
688,NB,26636,15.00,pm60,41
689,EB,26636,16.30,pm60,926
690,WB,26636,17.00,pm60,1501
691,SB,26636,15.15,pm60,87
692,NB,26637,0.00,pm60,0
693,EB,26637,16.00,pm60,952
694,WB,26637,17.00,pm60,858
695,SB,26637,15.00,pm60,49
696,NB,26638,16.00,pm60,1263
697,EB,26638,16.00,pm60,981
698,WB,26638,15.00,pm60,734
699,SB,26638,14.30,pm60,1084
700,NB,26639,15.45,pm60,443
701,EB,26639,14.00,pm60,42
702,WB,26639,14.00,pm60,26
703,SB,26639,15.45,pm60,407
704,NB,26640,15.45,pm60,1481
705,EB,26640,14.30,pm60,65
706,WB,26640,0.00,pm60,0
707,SB,26640,15.00,pm60,1274
708,NB,26641,16.00,pm60,1192
709,EB,26641,14.15,pm60,45
710,WB,26641,14.45,pm60,55
711,SB,26641,14.30,pm60,717
712,NB,26642,17.00,pm60,1542
713,EB,26642,15.00,pm60,1109
714,WB,26642,16.45,pm60,1063
715,SB,26642,16.45,pm60,766
716,NB,26643,17.00,pm60,1505
717,EB,26643,16.00,pm60,1040
718,WB,26643,16.45,pm60,263
719,SB,26643,16.00,pm60,1323
720,NB,26644,17.00,pm60,151
721,EB,26644,16.45,pm60,1920
722,WB,26644,17.00,pm60,1165
723,SB,26644,16.45,pm60,385
724,NB,26645,0.00,pm60,0
725,EB,26645,17.00,pm60,1374
726,WB,26645,15.00,pm60,1159
727,SB,26645,17.00,pm60,101
728,NB,26655,17.00,pm60,1288
729,EB,26655,16.30,pm60,911
730,WB,26655,16.45,pm60,920
731,SB,26655,16.45,pm60,1007
732,NB,26716,15.15,pm60,693
733,EB,26716,14.00,pm60,25
734,WB,26716,15.15,pm60,3
735,SB,26716,15.45,pm60,910
736,NB,26748,2.00,pm60,0
737,EB,26748,2.00,pm60,0
738,WB,26748,2.00,pm60,0
739,SB,26748,2.00,pm60,0
740,NB,27342,15.00,pm60,46
741,EB,27342,16.45,pm60,1402
742,WB,27342,16.45,pm60,833
743,SB,27342,16.45,pm60,56
744,NB,27343,16.45,pm60,859
745,EB,27343,16.15,pm60,27
746,WB,27343,17.00,pm60,39
747,SB,27343,16.30,pm60,861
748,NB,27344,16.15,pm60,74
749,EB,27344,16.15,pm60,965
750,WB,27344,17.00,pm60,717
751,SB,27344,17.00,pm60,72
752,NB,27345,15.00,pm60,55
753,EB,27345,15.45,pm60,911
754,WB,27345,16.15,pm60,955
755,SB,27345,15.00,pm60,17
756,NB,27346,15.00,pm60,59
757,EB,27346,16.45,pm60,1025
758,WB,27346,15.00,pm60,907
759,SB,27346,17.00,pm60,44
760,NB,27347,16.45,pm60,629
761,EB,27347,17.00,pm60,24
762,WB,27347,15.45,pm60,32
763,SB,27347,16.15,pm60,709
764,NB,27348,15.00,pm60,70
